set_number,err_true,err_train,err_cv2,err_cv10,err_cv50,err_loo
48,0.5009769355191884,0.4971326304423001,0.5057349325327541,0.5043336873352254,0.5041519477399181,0.5045065991737852
49,0.5029067702208283,0.49116269606774143,0.5011157480081389,0.49631534242202263,0.49726944764924685,0.497771008669343
50,0.5018163758886767,0.47909708462085154,0.4996962097117779,0.48703315603555103,0.485394753909371,0.485816970170197
51,0.5002105057045277,0.4709754155853749,0.49839900824179606,0.47779978823413893,0.47743289632356123,0.4780610537240722
52,0.5002102363755978,0.48069412122786975,0.4888601383929011,0.48930027388094377,0.48757642057145734,0.487626882955362
53,0.5012121880571752,0.4839364180363231,0.493375900645927,0.49081699002315154,0.49038985137955016,0.49066333698848663
54,0.5017951612825831,0.5051711076305012,0.5151133326228364,0.5119034544179213,0.5123941336423352,0.5120169156065448
55,0.5028057415111326,0.49565519209243303,0.5046870313310315,0.5021595481620571,0.5027332728985813,0.5025276740225192
56,0.501727337645151,0.47324064100774427,0.4764293458430842,0.48009623716256644,0.4801545103418622,0.4796721143167189
57,0.5009762624196651,0.47510971640006666,0.4881188938529052,0.4819337769411149,0.4818559785137933,0.4815750581180723
58,0.5015151995618986,0.5159090823080069,0.5243604775367556,0.5224338762208356,0.5235836412208033,0.5232366716528772
59,0.5041862152802179,0.5072417074898536,0.5204840627230889,0.5138024176418978,0.5141687516937798,0.5142691371917559
60,0.5046919647477194,0.48764185502277724,0.4929617804599188,0.4940433725292203,0.49524692498284534,0.4948270816213125
61,0.5029816555963731,0.48487113006743127,0.49076208818951894,0.49208335995988634,0.4912843280654331,0.49187616543485974
62,0.5060393140983965,0.5249790548314205,0.5352568297313722,0.5325955164121271,0.5321693144102742,0.5323547613533349
63,0.5018431376636693,0.485016794333128,0.49176168701912776,0.4926349997273493,0.49210197517286536,0.4920868491429703
64,0.5046676664888364,0.5064096101269117,0.5147789806221155,0.5157290747395461,0.5148792716701793,0.5136252036377428
65,0.5017044137712748,0.5188668182248495,0.5370043171755021,0.5257845568610832,0.5261375746975117,0.5261936404598578
66,0.5015841397039247,0.4767503232436519,0.4866746605502773,0.484185999285051,0.48292082009907666,0.4835156506257724
67,0.5028293513991517,0.49756628504903144,0.5192778679286875,0.5057140273278685,0.5049573370926628,0.5048112715195955
68,0.5053701119645873,0.5197297616206104,0.5249743555828386,0.5291124654427691,0.5266331914476337,0.5271059234520391
69,0.5007765600141232,0.4800652872667043,0.504939265352803,0.48584257630163563,0.48715340911022176,0.48699954200662265
70,0.504649163530457,0.47461554874944095,0.483475783175978,0.48007809094371057,0.48091768056014134,0.48143656350654174
71,0.5009264284342497,0.47142587559585636,0.4745960404828105,0.47783560481536735,0.4778065943084462,0.47801088214598525
72,0.5029619874931649,0.5010553790609428,0.5089768405008059,0.5093209916938368,0.5083342073090364,0.5083376045911454
73,0.4994447930685,0.5146041612646745,0.5280387525929194,0.5216904917928803,0.5212132287660357,0.521795406142701
74,0.5031903541994487,0.510622185796766,0.5437722664266779,0.5189289177951392,0.5170342629656974,0.5179075967713198
75,0.5002793956537365,0.4919391523392983,0.5066292562856198,0.49832442700870155,0.4981802741391961,0.49838547458405563
76,0.5023660082784271,0.49339184458833507,0.49847411155933957,0.501593380740384,0.4997231048776685,0.49998692760568875
