set_number,err_true,err_train,err_cv2,err_cv5,err_cv10,err_cv50,err_loo
50,0.5007624789885237,0.4946015913524528,0.5074058972252751,0.5013801902016277,0.5033111469534924,0.5010175277466616,0.501099319030226
51,0.5016688109978966,0.4974119151214254,0.516766141769368,0.5018955300809314,0.5050955597543573,0.505540497361079,0.5045718237606938
52,0.49949262255078836,0.46400404454998456,0.46813306193074666,0.4699722717099157,0.47039702939805966,0.4700556767146375,0.47024614521297087
53,0.4990917283787832,0.4863116238525921,0.4899004455797876,0.4951928094186788,0.495737540751818,0.4935355611814463,0.493343014307109
54,0.5024134748232166,0.5201116678973707,0.537756343378482,0.5319010656952262,0.5277585368515251,0.5282262908264643,0.5276832924442841
55,0.49861426257490093,0.5138120185038534,0.5385441513835896,0.5200006408403551,0.518071351305744,0.5201672349910793,0.520686368280918
56,0.4990853633124917,0.4814551955819814,0.49634431618447616,0.4876443851758537,0.48843820115493747,0.4875260290724992,0.4882330138315867
57,0.4998376250950319,0.48142027911334023,0.4873279140979518,0.48702417594950315,0.4896722188698591,0.4886760863395827,0.4885118038846513
58,0.5006909640817016,0.49854523459686645,0.5072893474720631,0.5099268979979229,0.5057228508048808,0.5055467934571516,0.5055042558804054
59,0.4983497346952035,0.4973538301104951,0.5005084592580845,0.5031429305388235,0.5056773353306622,0.5048048586204551,0.5040890099766405
60,0.49951505158625126,0.49468628245181084,0.513784802750119,0.5064632646280122,0.5031898008678227,0.5024039255565856,0.5017691434884034
61,0.49959640993064297,0.49258311647945757,0.49834583998408705,0.49818714867630187,0.5031464090904249,0.49936819048342707,0.499302860725457
62,0.5020857387675703,0.47861009253918363,0.48960935681478907,0.48529086483703904,0.4856381731611455,0.4854518138990592,0.4854170041429121
63,0.50137827090672,0.5092008662919933,0.5266844642576134,0.5167997419632713,0.5173124067372272,0.5156298313069223,0.5162068898284068
64,0.5008888743184016,0.500189108985714,0.5140544759501048,0.5108460679262288,0.5067493120128025,0.5076940648703986,0.5075615033888802
65,0.49928186010923786,0.493934890529137,0.5002191024547437,0.499767440104846,0.5023392695163647,0.5009140741666589,0.5009459631972623
66,0.49930755091767987,0.5100870475041283,0.5150346387083645,0.5151922666628571,0.522462335953426,0.5170051490275984,0.5173068837256145
67,0.49900493854092104,0.4944785098721687,0.5047769723969161,0.5042253982408174,0.5005002739320173,0.5011169474260924,0.5013847658287152
68,0.4984592369323521,0.4956633073976222,0.5024589599068814,0.5045045827699614,0.5038734133921096,0.5027100031523786,0.5027492562678376
